"PlotID","Date","Collector","Latitude","Longitude","Site Description","Ecosystem Class","Additional Class","Aspect","Elevation _m","Comments","Densio10","Densio20","Densio30","Densio40","Percent_Canopy_Cover","Prism_Hits","Dominant_Tree","Second_Tree","Tree_Size_Class"
66.00,8/19/2014 0:00:00,"MB",46.72,-113.80,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"88",1692.00,"GAP completed at this plot",14.00,17.00,23.00,22.00,"63.2",12.00,"PSEMEN",,
68.00,8/22/2014 0:00:00,"RD",46.72,-113.80,"forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"168",1679.00,"EVIDENCE OF OLD BURN",13.00,23.00,10.00,21.00,"55.7",5.00,"LAROCC",,
69.00,8/19/2014 0:00:00,"MB",46.73,-113.79,"Forest","Rocky Mountain Ponderosa Pine Woodland and Savanna",,"214",1750.00,"0",6.00,0.00,4.00,1.00,"9.2",6.00,"PINPON",,
70.00,8/19/2014 0:00:00,"MB",46.73,-113.80,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"226",1708.00,"0",15.00,24.00,13.00,7.00,"49.1",10.00,"PSEMEN",,
71.00,7/18/2014 0:00:00,"EF",46.47,-113.90,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"85",1749.00,"Habitat changed from deciduous forest.",16.00,15.00,13.00,19.00,"52.4",12.00,"PSEMEN",,
72.00,7/16/2014 0:00:00,"EF",46.47,-113.90,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"215",1724.00,"Habitat change from deciduous forest",9.00,4.00,17.00,22.00,"43.3",3.00,"PSEMEN",,
73.00,7/15/2014 0:00:00,"MB",46.47,-113.90,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"188",1717.00,"0",15.00,8.00,18.00,20.00,"50.8",5.00,"PSEMEN",,
74.00,7/16/2014 0:00:00,"JM",46.46,-113.90,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"67",1664.00,"Labeled  as Decid forest.",18.00,14.00,5.00,16.00,"44.1",6.00,"PSEMEN",,
75.00,7/18/2014 0:00:00,"EF",46.47,-113.89,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"78",1734.00,"Habitat changed from deciduous forest.",24.00,22.00,19.00,13.00,"64.9",22.00,"PSEMEN",,
91.00,7/20/2015 0:00:00,"JM",46.75,-114.00,"0","FMC","0","323",1416.41,"0",22.00,20.00,7.00,19.00,"17",8.00,"PSEMEN","PINPON","3"
92.00,7/20/2015 0:00:00,"JM",46.76,-114.01,"0","FMC","0","343",1382.67,"0",9.00,5.00,10.00,21.00,"11.25",5.00,"PSEMEN","PINPON","3"
93.00,7/20/2015 0:00:00,"LS",46.75,-114.00,"0","FMC","0","250",1412.52,"0",7.00,11.00,13.00,15.00,"11.5",14.00,"PSEMEN","PINPON","1"
94.00,7/20/2015 0:00:00,"EF",46.75,-114.00,"0","FMC","0","300",1450.72,"0",24.00,22.00,14.00,23.00,"20.75",14.00,"PSEMEN","0","2"
95.00,7/20/2015 0:00:00,"EF",46.76,-114.00,"0","FMC","0","290",1458.50,"0",9.00,4.00,7.00,16.00,"9",4.00,"PSEMEN","0","2"
106.00,8/22/2014 0:00:00,"MB",46.69,-113.75,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"66",1660.00,"GAP completed at this plot. plants were wet when collected.No 20m clip plot.",21.00,21.00,20.00,17.00,"65.7",7.00,"PSEMEN",,
108.00,8/22/2014 0:00:00,"TA",46.69,-113.75,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"304",1633.00,"plants were wet when collected",13.00,11.00,14.00,18.00,"46.6",6.00,"PSEMEN",,
109.00,8/22/2014 0:00:00,"MB",46.69,-113.75,"Forest","Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",,"268",1586.00,"Plants were wet when collected.",8.00,13.00,22.00,14.00,"47.4",9.00,"PSEMEN",,
122.00,7/22/2015 0:00:00,"LS",46.71,-113.89,"0","FMC","0","40",1416.18,"0",11.00,10.00,9.00,9.00,"9.75",13.00,"PINCON","PSEMEN","1"
123.00,7/22/2015 0:00:00,"EF",46.70,-113.89,"0","FMC","0","308",1457.05,"0",22.00,24.00,22.00,21.00,"22.25",12.00,"LAROCC","PSEMEN","2"
124.00,7/22/2015 0:00:00,"LS",46.71,-113.88,"0","FMC","0","30",1398.11,"0",11.00,5.00,13.00,15.00,"11",5.00,"PSEMEN","LAROCC","2"
125.00,7/22/2015 0:00:00,"EF",46.70,-113.89,"0","FMC","0","270",1479.01,"0",11.00,9.00,10.00,8.00,"9.5",4.00,"LAROCC","PINCON","1"
131.00,8/20/2015 0:00:00,"JM",46.44,-113.90,"0","FMC","0","251",1550.94,"0",10.00,9.00,19.00,19.00,"14.25",3.00,"PSEMEN","PINPON","3"
132.00,8/20/2015 0:00:00,"EF",46.43,-113.91,"0","FMC","0","320",1502.57,"plot moved out of active logging",19.00,16.00,21.00,20.00,"19",11.00,"PSEMEN","0","3"
133.00,8/20/2015 0:00:00,"EF",46.44,-113.90,"0","FMC","0","320",1485.97,"plot moved out of active logging",17.00,10.00,17.00,20.00,"16",9.00,"PSEMEN","PINPON","3"
